model,group,cmd,concurrency,pipeline,requests,qps,avg_ms,p50_ms,p95_ms,p99_ms,errors,status,logfile
reactor,basic,get,1,1,10000,19685.04,inf,0,0,0,0,ok,./testdata//logs/reactor_basic_get_c1_p1.txt
reactor,basic,set,1,1,10000,19120.46,inf,1,1,1,0,ok,./testdata//logs/reactor_basic_set_c1_p1.txt
reactor,basic,get,10,1,10000,89285.71,inf,1,1,1,0,ok,./testdata//logs/reactor_basic_get_c10_p1.txt
reactor,basic,set,10,1,10000,84033.61,inf,0,0,0,0,ok,./testdata//logs/reactor_basic_set_c10_p1.txt
reactor,basic,get,50,1,10000,102040.82,inf,1,1,1,0,ok,./testdata//logs/reactor_basic_get_c50_p1.txt
reactor,basic,set,50,1,10000,100000.00,inf,1,1,1,0,ok,./testdata//logs/reactor_basic_set_c50_p1.txt
reactor,basic,get,100,1,10000,107526.88,inf,1,2,2,0,ok,./testdata//logs/reactor_basic_get_c100_p1.txt
reactor,basic,set,100,1,10000,103092.78,inf,1,2,2,0,ok,./testdata//logs/reactor_basic_set_c100_p1.txt
reactor,basic,get,200,1,10000,117647.05,inf,2,3,3,0,ok,./testdata//logs/reactor_basic_get_c200_p1.txt
reactor,basic,set,200,1,10000,107526.88,inf,2,3,4,0,ok,./testdata//logs/reactor_basic_set_c200_p1.txt
reactor,basic,get,500,1,10000,104166.66,inf,5,7,7,0,ok,./testdata//logs/reactor_basic_get_c500_p1.txt
reactor,basic,set,500,1,10000,98039.22,inf,5,7,8,0,ok,./testdata//logs/reactor_basic_set_c500_p1.txt
reactor,basic,get,1000,1,10000,94339.62,inf,8,13,14,0,ok,./testdata//logs/reactor_basic_get_c1000_p1.txt
reactor,basic,set,1000,1,10000,81967.21,inf,11,16,19,0,ok,./testdata//logs/reactor_basic_set_c1000_p1.txt
reactor,pipeline,get,100,1,10000,105263.16,inf,1,2,3,0,ok,./testdata//logs/reactor_pipeline_get_c100_p1.txt
reactor,pipeline,set,100,1,10000,108695.65,inf,1,2,2,0,ok,./testdata//logs/reactor_pipeline_set_c100_p1.txt
reactor,pipeline,get,100,4,10000,9182.74,inf,1,3,3,0,ok,./testdata//logs/reactor_pipeline_get_c100_p4.txt
reactor,pipeline,set,100,4,10000,9149.13,inf,2,3,5,0,ok,./testdata//logs/reactor_pipeline_set_c100_p4.txt
reactor,pipeline,get,100,8,10000,18315.02,inf,2,5,7,0,ok,./testdata//logs/reactor_pipeline_get_c100_p8.txt
reactor,pipeline,set,100,8,10000,18315.02,inf,2,10,10,0,ok,./testdata//logs/reactor_pipeline_set_c100_p8.txt
reactor,pipeline,get,100,16,10000,35335.69,inf,3,11,11,0,ok,./testdata//logs/reactor_pipeline_get_c100_p16.txt
reactor,pipeline,set,100,16,10000,34843.21,inf,5,12,13,0,ok,./testdata//logs/reactor_pipeline_set_c100_p16.txt
reactor,pipeline,get,100,32,10000,66225.17,inf,14,18,18,0,ok,./testdata//logs/reactor_pipeline_get_c100_p32.txt
reactor,pipeline,set,100,32,10000,62893.08,inf,13,27,28,0,ok,./testdata//logs/reactor_pipeline_set_c100_p32.txt
proactor,basic,get,1,1,10000,19607.84,inf,1,1,1,0,ok,./testdata//logs/proactor_basic_get_c1_p1.txt
proactor,basic,set,1,1,10000,18867.93,inf,1,1,1,0,ok,./testdata//logs/proactor_basic_set_c1_p1.txt
proactor,basic,get,10,1,10000,111111.11,inf,1,1,1,0,ok,./testdata//logs/proactor_basic_get_c10_p1.txt
proactor,basic,set,10,1,10000,104166.66,inf,1,1,1,0,ok,./testdata//logs/proactor_basic_set_c10_p1.txt
proactor,basic,get,50,1,10000,116279.06,inf,1,1,2,0,ok,./testdata//logs/proactor_basic_get_c50_p1.txt
proactor,basic,set,50,1,10000,114942.53,inf,1,1,2,0,ok,./testdata//logs/proactor_basic_set_c50_p1.txt
proactor,basic,get,100,1,10000,114942.53,inf,1,2,3,0,ok,./testdata//logs/proactor_basic_get_c100_p1.txt
proactor,basic,set,100,1,10000,119047.62,inf,1,2,2,0,ok,./testdata//logs/proactor_basic_set_c100_p1.txt
proactor,basic,get,200,1,10000,117647.05,inf,2,2,2,0,ok,./testdata//logs/proactor_basic_get_c200_p1.txt
proactor,basic,set,200,1,10000,112359.55,inf,2,3,5,0,ok,./testdata//logs/proactor_basic_set_c200_p1.txt
proactor,basic,get,500,1,10000,109890.11,inf,3,5,7,0,ok,./testdata//logs/proactor_basic_get_c500_p1.txt
proactor,basic,set,500,1,10000,100000.00,inf,3,6,6,0,ok,./testdata//logs/proactor_basic_set_c500_p1.txt
proactor,basic,get,1000,1,10000,84033.61,inf,6,9,9,0,ok,./testdata//logs/proactor_basic_get_c1000_p1.txt
proactor,basic,set,1000,1,10000,90909.09,inf,7,9,10,0,ok,./testdata//logs/proactor_basic_set_c1000_p1.txt
proactor,pipeline,get,100,1,10000,114942.53,inf,1,1,1,0,ok,./testdata//logs/proactor_pipeline_get_c100_p1.txt
proactor,pipeline,set,100,1,10000,109890.11,inf,1,2,2,0,ok,./testdata//logs/proactor_pipeline_set_c100_p1.txt
proactor,pipeline,get,100,4,10000,9302.33,inf,1,3,3,0,ok,./testdata//logs/proactor_pipeline_get_c100_p4.txt
proactor,pipeline,set,100,4,10000,9276.44,inf,1,2,3,0,ok,./testdata//logs/proactor_pipeline_set_c100_p4.txt
proactor,pipeline,get,100,8,10000,18348.62,inf,2,3,5,0,ok,./testdata//logs/proactor_pipeline_get_c100_p8.txt
proactor,pipeline,set,100,8,10000,18450.19,inf,2,3,6,0,ok,./testdata//logs/proactor_pipeline_set_c100_p8.txt
proactor,pipeline,get,100,16,10000,35714.29,inf,2,5,11,0,ok,./testdata//logs/proactor_pipeline_get_c100_p16.txt
proactor,pipeline,set,100,16,10000,34602.07,inf,3,7,8,0,ok,./testdata//logs/proactor_pipeline_set_c100_p16.txt
proactor,pipeline,get,100,32,10000,52356.02,inf,6,11,14,0,ok,./testdata//logs/proactor_pipeline_get_c100_p32.txt
proactor,pipeline,set,100,32,10000,56179.77,inf,7,11,16,0,ok,./testdata//logs/proactor_pipeline_set_c100_p32.txt
ntyco,basic,get,1,1,10000,15197.57,inf,1,1,1,0,ok,./testdata//logs/ntyco_basic_get_c1_p1.txt
ntyco,basic,set,1,1,10000,14705.88,inf,1,1,1,0,ok,./testdata//logs/ntyco_basic_set_c1_p1.txt
ntyco,basic,get,10,1,10000,78125.00,inf,1,1,1,0,ok,./testdata//logs/ntyco_basic_get_c10_p1.txt
ntyco,basic,set,10,1,10000,70422.53,inf,1,1,1,0,ok,./testdata//logs/ntyco_basic_set_c10_p1.txt
ntyco,basic,get,50,1,10000,79365.08,inf,1,2,3,0,ok,./testdata//logs/ntyco_basic_get_c50_p1.txt
ntyco,basic,set,50,1,10000,81967.21,inf,1,2,2,0,ok,./testdata//logs/ntyco_basic_set_c50_p1.txt
ntyco,basic,get,100,1,10000,93457.95,inf,1,2,3,0,ok,./testdata//logs/ntyco_basic_get_c100_p1.txt
ntyco,basic,set,100,1,10000,84033.61,inf,2,3,3,0,ok,./testdata//logs/ntyco_basic_set_c100_p1.txt
ntyco,basic,get,200,1,10000,88495.58,inf,3,5,5,0,ok,./testdata//logs/ntyco_basic_get_c200_p1.txt
ntyco,basic,set,200,1,10000,85470.09,inf,3,5,5,0,ok,./testdata//logs/ntyco_basic_set_c200_p1.txt
ntyco,basic,get,500,1,10000,73529.41,inf,6,16,23,0,ok,./testdata//logs/ntyco_basic_get_c500_p1.txt
ntyco,basic,set,500,1,10000,71428.57,inf,7,13,18,0,ok,./testdata//logs/ntyco_basic_set_c500_p1.txt
ntyco,basic,get,1000,1,10000,72992.70,inf,12,25,27,0,ok,./testdata//logs/ntyco_basic_get_c1000_p1.txt
ntyco,basic,set,1000,1,10000,69930.07,inf,13,25,27,0,ok,./testdata//logs/ntyco_basic_set_c1000_p1.txt
ntyco,pipeline,get,100,1,10000,89285.71,inf,1,3,3,0,ok,./testdata//logs/ntyco_pipeline_get_c100_p1.txt
ntyco,pipeline,set,100,1,10000,76923.08,inf,2,3,3,0,ok,./testdata//logs/ntyco_pipeline_set_c100_p1.txt
ntyco,pipeline,get,100,4,10000,9242.14,inf,1,3,4,0,ok,./testdata//logs/ntyco_pipeline_get_c100_p4.txt
ntyco,pipeline,set,100,4,10000,9233.61,inf,1,3,6,0,ok,./testdata//logs/ntyco_pipeline_set_c100_p4.txt
ntyco,pipeline,get,100,8,10000,18518.52,inf,1,5,9,0,ok,./testdata//logs/ntyco_pipeline_get_c100_p8.txt
ntyco,pipeline,set,100,8,10000,NA,NA,NA,NA,NA,0,fail,./testdata//logs/ntyco_pipeline_set_c100_p8.txt
ntyco,pipeline,get,100,16,10000,NA,NA,NA,NA,NA,0,fail,./testdata//logs/ntyco_pipeline_get_c100_p16.txt
ntyco,pipeline,set,100,16,10000,NA,NA,NA,NA,NA,0,fail,./testdata//logs/ntyco_pipeline_set_c100_p16.txt
ntyco,pipeline,get,100,32,10000,NA,NA,NA,NA,NA,0,fail,./testdata//logs/ntyco_pipeline_get_c100_p32.txt
ntyco,pipeline,set,100,32,10000,NA,NA,NA,NA,NA,0,fail,./testdata//logs/ntyco_pipeline_set_c100_p32.txt
